id,credit_score,isCtry1,isCtry2,isFemale,age,tenure,balance,products_number,credit_card,active_member,estimated_salary,churn
2481,665,0,1,1,40,6,0,1,1,1,161848.03,0
2482,623,0,1,1,44,6,0,2,0,0,167162.43,0
2483,738,0,1,0,31,9,82674.15,1,1,0,41970.72,0
2484,528,0,0,0,36,7,0,2,1,0,60536.56,0
2485,670,0,0,1,65,1,0,1,1,1,177655.68,1
2486,622,0,0,1,46,4,107073.27,2,1,1,30984.59,1
2487,582,1,0,0,32,1,88938.62,1,1,1,10054.53,0
2488,785,1,0,1,36,2,99806.85,1,0,1,36976.52,0
2489,605,0,0,0,33,5,150092.8,1,0,0,71862.79,0
2490,479,1,0,0,35,9,92833.89,1,1,0,99449.86,1
2491,685,1,0,0,30,3,90536.81,1,0,1,63082.88,0
2492,538,1,0,0,39,7,108055.1,2,1,0,27231.26,0
2493,562,0,1,0,42,2,100238.35,1,0,0,86797.41,0
2494,675,0,0,0,36,9,106190.55,1,0,1,22994.32,0
2495,721,1,0,0,28,9,154475.54,2,0,1,101300.94,1
2496,628,1,0,1,30,9,132351.29,2,1,1,74169.13,0
2497,668,1,0,1,37,6,167864.4,1,1,0,115638.29,0
2498,506,0,1,1,41,1,0,2,1,0,31766.3,0
2499,524,1,0,1,31,8,107818.63,1,1,0,199725.39,1
2500,699,1,0,0,34,4,185173.81,2,1,0,120834.48,0
2501,828,0,1,0,34,8,129433.34,2,0,0,38131.77,0
2502,674,0,0,0,39,6,120193.42,1,0,0,100130.95,0
2503,656,0,1,1,39,6,0,2,1,0,141069.88,0
2504,684,1,0,1,48,10,126384.42,1,1,1,198129.36,0
2505,625,0,1,1,28,3,0,1,0,0,183646.41,0
2506,432,0,1,0,42,9,152603.45,1,1,0,110265.24,1
2507,549,0,1,1,52,1,0,1,0,1,8636.05,1
2508,625,1,0,0,56,0,148507.24,1,1,0,46824.08,1
2509,828,0,1,1,41,7,0,2,1,0,171378.77,0
2510,770,0,1,0,24,9,101827.07,1,1,0,167256.35,0
2511,758,0,1,1,34,3,0,2,1,1,124226.16,0
2512,795,1,0,1,33,9,130862.43,1,1,1,114935.21,0
2513,687,0,1,0,38,9,122570.87,1,1,1,35608.88,0
2514,686,0,1,0,25,1,0,2,0,1,16459.37,0
2515,789,1,0,0,39,7,124828.46,2,1,1,124411.08,0
2516,589,1,0,1,50,5,144895.05,2,1,1,34941.23,0
2517,461,1,0,1,34,5,63663.93,1,0,1,167784.28,0
2518,637,0,1,0,40,2,133463.1,1,0,1,93165.34,0
2519,584,0,0,1,48,2,213146.2,1,1,0,75161.25,1
2520,579,0,0,1,35,1,129490.36,2,0,1,8590.83,1
2521,756,1,0,0,44,10,137452.09,1,1,0,189543.9,0
2522,663,0,1,0,34,7,0,2,1,1,180427.24,0
2523,682,0,1,1,43,5,125851.93,1,1,1,193318.33,0
2524,793,0,0,0,52,2,0,1,1,0,159123.82,1
2525,691,0,1,1,31,5,40915.55,1,1,0,126213.84,1
2526,485,0,0,1,21,5,113157.22,1,1,1,54141.5,0
2527,635,0,0,1,29,8,138296.94,2,1,0,141075.51,0
2528,650,0,1,0,37,5,106967.18,1,0,0,24495.03,0
2529,735,0,1,0,44,9,120681.63,1,1,0,74836.34,0
2530,416,0,1,0,32,0,0,2,0,1,878.87,0
2531,754,0,0,1,32,7,0,2,1,0,89520.75,0
2532,535,0,1,1,48,9,0,1,1,0,149892.79,1
2533,716,0,0,0,42,8,0,2,1,0,180800.42,0
2534,539,0,1,0,37,2,127609.59,1,1,0,98646.22,0
2535,614,0,1,1,43,6,0,2,1,1,109041.53,0
2536,706,0,0,0,57,7,0,1,1,0,17941.16,1
2537,758,0,1,1,33,7,0,2,0,0,82996.47,0
2538,586,0,0,1,28,2,0,2,1,1,92067.35,0
2539,646,0,1,1,73,6,97259.25,1,0,1,104719.66,0
2540,631,1,0,1,33,4,123246.7,1,0,0,112687.57,0
2541,717,0,0,1,22,6,101060.25,1,0,1,84699.56,0
2542,684,0,1,0,30,2,0,2,1,0,83473.82,0
2543,800,0,1,1,49,7,108007.36,1,0,0,47125.11,0
2544,721,0,0,1,36,2,0,2,1,1,106977.8,0
2545,683,0,0,0,29,0,133702.89,1,1,0,55582.54,1
2546,660,1,0,0,31,9,125189.75,2,1,1,139874.43,0
2547,704,1,0,1,24,7,113034.22,1,1,0,162503.48,1
2548,615,0,0,1,41,9,109013.23,1,1,0,196499.96,0
2549,667,0,0,1,39,2,0,2,1,0,40721.24,1
2550,682,1,0,0,24,9,57929.81,2,0,0,53134.3,0
2551,484,0,1,1,29,4,130114.39,1,1,0,164017.89,0
2552,628,1,0,0,27,5,95826.49,2,1,0,155996.96,0
2553,480,1,0,0,44,10,129608.57,1,1,0,5472.7,1
2554,578,0,1,0,30,4,169462.09,1,1,0,112187.11,0
2555,512,0,1,0,40,5,0,2,1,1,146457.83,0
2556,484,0,0,1,35,7,133868.21,1,1,1,27286.1,0
2557,510,0,1,1,30,0,0,2,1,1,130553.47,0
2558,606,1,0,0,36,5,190479.48,2,0,0,179351.89,0
2559,597,0,0,1,40,8,101993.12,1,0,1,94774.12,0
2560,754,1,0,1,55,3,161608.81,1,1,0,8080.85,1
2561,850,0,0,1,45,2,122311.21,1,1,1,19482.5,0
2562,510,0,1,0,65,2,0,2,1,1,48071.61,0
2563,778,1,0,1,45,1,162150.42,2,1,0,174531.27,0
2564,636,0,1,0,42,2,0,2,1,1,55470.78,0
2565,804,0,1,1,50,4,0,1,1,1,8546.87,1
2566,514,0,1,0,32,8,0,2,1,0,95857.18,0
2567,730,0,1,1,39,1,99010.67,1,1,0,194945.8,0
2568,525,0,0,1,37,0,0,1,0,1,131521.72,0
2569,616,0,0,0,30,5,0,2,0,1,196108.51,0
2570,687,1,0,1,34,7,111388.18,2,1,0,148564.76,0
2571,715,0,1,1,41,8,56214.85,2,0,0,92982.61,1
2572,512,0,1,1,36,3,84327.77,2,1,0,17675.36,0
2573,479,0,1,0,40,1,0,2,0,0,114996.43,0
2574,601,0,1,0,32,8,93012.89,1,1,0,86957.42,0
2575,580,0,0,0,29,9,61710.44,2,1,0,128077.8,0
2576,807,0,1,0,35,3,174790.15,1,1,1,600.36,0
2577,616,0,0,1,32,6,0,2,1,1,43001.46,0
2578,721,1,0,0,37,3,107720.64,1,1,1,158591.12,0
2579,501,0,1,0,57,10,0,2,1,1,47847.19,0
2580,521,0,1,0,35,6,96423.84,1,1,0,10488.44,0
2581,850,0,0,0,30,2,141040.01,1,1,1,5978.2,0
2582,759,0,1,0,42,4,105420.18,1,0,1,121409.06,0
2583,516,0,0,0,50,5,0,1,0,1,146145.93,1
2584,711,0,1,1,38,2,129022.06,2,1,1,14374.86,1
2585,512,0,0,0,33,3,176666.62,1,1,0,94670.77,0
2586,550,0,1,0,37,3,0,1,1,1,179670.31,0
2587,608,0,0,1,41,3,89763.84,1,0,0,199304.74,1
2588,618,0,1,0,34,5,134954.53,1,1,1,151954.39,0
2589,643,0,1,0,45,5,0,1,1,0,142513.5,1
2590,671,0,1,0,45,2,106376.85,1,0,1,158264.62,0
2591,689,1,0,0,33,2,161814.64,2,1,0,169381.9,0
2592,603,0,1,0,31,8,0,2,1,1,169915.02,0
2593,620,0,1,1,41,9,0,2,0,0,88852.47,0
2594,676,0,1,1,34,1,63095.01,1,1,1,40645.81,0
2595,572,1,0,0,26,4,118287.01,2,0,0,60427.3,0
2596,668,1,0,0,47,7,106854.21,1,0,1,157959.02,1
2597,695,0,1,0,46,7,49512.55,1,1,0,133007.34,0
2598,730,0,0,1,33,9,0,2,0,0,176576.62,0
2599,807,0,1,0,43,1,105799.32,2,1,0,34888.04,1
2600,592,0,1,0,54,8,0,1,1,1,28737.71,1
2601,726,0,1,1,31,9,114722.05,2,1,1,98178.57,0
2602,514,0,0,0,30,7,0,1,0,1,125010.24,0
2603,567,0,1,0,42,2,0,2,1,1,167984.61,0
2604,850,0,1,0,33,10,0,1,1,0,4861.72,1
2605,671,1,0,0,45,6,99564.22,1,1,1,108872.45,1
2606,670,0,1,0,37,4,170557.91,2,1,0,198252.88,0
2607,694,0,1,1,30,9,0,2,1,1,26960.31,0
2608,547,1,0,1,39,6,74596.15,3,1,1,85746.52,1
2609,751,1,0,0,50,2,96888.39,1,1,0,77206.25,1
2610,594,1,0,1,29,3,130830.22,1,1,0,61048.53,0
2611,673,0,1,0,72,1,0,2,0,1,111981.19,0
2612,610,0,1,0,40,0,0,2,1,0,62232.6,0
2613,512,0,1,1,37,1,0,2,0,1,156105.03,0
2614,767,1,0,0,20,3,119714.25,2,0,1,150135.38,0
2615,585,0,1,1,67,5,113978.97,2,0,1,93146.11,0
2616,763,1,0,0,42,6,100160.75,1,1,0,33462.94,1
2617,712,0,1,1,29,2,0,1,1,1,144375,0
2618,539,1,0,1,43,3,116220.5,3,1,0,55803.96,1
2619,668,0,1,1,46,2,0,3,1,0,89048.46,1
2620,703,0,1,0,28,2,81173.83,2,0,1,162812.16,0
2621,662,0,0,0,38,4,0,2,1,0,136259.65,0
2622,725,1,0,1,39,5,116803.8,1,1,0,124052.97,0
2623,703,0,1,0,37,8,105961.68,2,0,1,74158.8,0
2624,659,1,0,0,67,6,117411.6,1,1,1,45071.09,1
2625,523,0,0,0,34,7,0,2,1,0,62030.06,0
2626,635,0,1,1,40,10,123497.58,1,1,0,131953.23,1
2627,772,1,0,0,26,7,152400.51,2,1,0,79414,0
2628,545,0,1,1,26,1,0,2,1,1,199638.56,0
2629,634,1,0,0,24,8,103097.85,1,1,1,157577.29,0
2630,739,1,0,0,54,8,126418.14,1,1,0,134420.75,1
2631,771,1,0,1,36,5,77846.9,1,0,0,99805.99,0
2632,587,0,0,1,34,1,0,2,1,1,97932.68,0
2633,681,0,1,1,79,0,0,2,0,1,170968.99,0
2634,544,1,0,0,37,2,79731.91,1,1,1,57558.95,0
2635,696,0,0,0,28,8,0,1,0,0,176713.47,0
2636,766,0,0,0,41,0,0,2,0,1,34283.23,0
2637,727,0,1,0,34,10,0,2,1,1,198637.34,0
2638,671,1,0,1,34,6,37266.67,2,0,0,156917.12,0
2639,693,0,1,1,30,6,127992.25,1,1,1,50457.2,0
2640,850,1,0,0,38,3,54901.01,1,1,1,140075.55,0
2641,732,1,0,0,42,9,108748.08,2,1,1,65323.11,0
2642,726,0,0,1,48,6,99906.19,1,1,0,64323.24,0
2643,557,0,1,1,32,6,184686.41,2,1,0,14956.44,0
2644,682,0,1,1,26,0,110654.02,1,0,1,111879.21,0
2645,738,0,0,0,31,9,79019.8,1,1,1,18606.23,0
2646,531,0,0,1,36,9,99240.51,1,1,0,123137.01,0
2647,498,0,1,0,34,2,0,2,1,1,148528.24,0
2648,651,0,1,0,36,7,0,2,1,0,13898.31,0
2649,549,0,0,1,39,7,0,1,0,0,81259.25,1
2650,791,1,0,1,35,7,52436.2,1,1,0,161051.75,0
2651,650,0,0,0,41,9,0,2,0,1,191599.67,0
2652,733,1,0,0,34,3,100337.96,3,1,0,48559.19,1
2653,811,1,0,1,34,1,149297.19,2,1,1,186339.74,0
2654,707,0,1,0,30,8,0,2,1,0,33159.37,0
2655,712,1,0,0,28,4,145605.44,1,0,1,93883.53,0
2656,706,0,0,1,37,7,0,2,1,1,110899.3,0
2657,756,0,1,0,62,3,0,1,1,1,11199.04,1
2658,777,0,1,1,53,10,0,2,1,0,189992.97,0
2659,646,0,1,0,35,6,84026.86,1,0,1,164255.69,0
2660,714,0,1,0,46,1,0,1,1,0,152167.79,1
2661,782,0,1,0,39,8,0,2,1,1,33949.67,0
2662,775,0,0,0,29,10,0,2,1,1,68143.93,0
2663,479,1,0,0,35,4,138718.92,1,1,1,47251.79,1
2664,807,0,1,0,42,7,118274.71,1,1,1,25885.72,0
2665,799,0,1,1,22,8,174185.98,2,0,1,192633.85,0
2666,675,0,1,0,40,7,113208.86,2,1,0,34577.36,0
2667,602,0,0,0,29,5,103907.28,1,1,0,161229.84,0
2668,475,0,1,1,32,8,119023.28,1,1,0,100816.29,0
2669,744,0,0,1,26,5,166297.89,1,1,1,181694.44,0
2670,588,0,0,0,34,10,0,2,1,0,79078.91,0
2671,703,1,0,0,42,9,63227,1,0,1,137316.32,0
2672,747,0,0,1,41,5,94521.17,2,1,0,194926.86,0
2673,583,0,1,0,27,7,0,2,1,0,51285.49,0
2674,750,0,0,1,34,9,112822.26,1,0,0,150401.53,1
2675,681,0,1,0,38,3,0,2,1,1,112491.96,0
2676,773,0,1,0,25,2,135903.33,1,1,0,73656.38,0
2677,714,0,1,1,31,4,125169.26,1,1,1,106636.89,0
2678,687,0,0,1,44,7,0,3,1,0,155853.52,1
2679,511,0,1,0,58,0,149117.31,1,1,1,162599.51,0
2680,627,0,1,0,33,5,0,2,1,1,103737.82,0
2681,694,0,1,1,31,10,0,2,1,0,160990.27,0
2682,616,0,0,1,36,6,132311.71,1,0,0,15462.84,0
2683,687,0,1,0,35,8,0,2,1,0,10334.05,0
2684,712,0,1,1,33,6,0,2,1,1,190686.16,0
2685,553,0,1,0,33,4,118082.89,1,0,0,94440.45,0
2686,667,0,1,0,31,1,119266.69,1,1,1,28257.63,0
2687,731,0,1,0,43,2,0,1,1,1,170034.95,1
2688,629,1,0,0,35,7,156847.29,2,1,0,31824.29,0
2689,614,0,1,0,50,4,137104.47,1,1,0,127166.49,1
2690,438,1,0,0,31,8,78398.69,1,1,0,44937.01,0
2691,652,0,1,1,80,4,0,2,1,1,188603.07,0
2692,729,1,0,0,30,6,63669.42,1,1,0,145111.37,0
2693,642,0,1,0,38,3,0,2,0,0,171463.83,0
2694,806,1,0,1,59,0,135296.33,1,1,0,182822.5,0
2695,744,0,0,0,36,2,153804.44,1,1,1,87213.33,0
2696,474,0,0,0,37,3,0,2,0,0,57175.32,0
2697,559,0,1,0,49,2,147069.78,1,1,0,120540.83,1
2698,706,0,0,0,42,9,0,2,1,1,28714.34,0
2699,628,0,0,1,22,3,0,1,1,0,85426.28,0
2700,429,0,1,0,24,4,95741.75,1,1,0,46170.75,0
2701,525,0,0,1,57,2,145965.33,1,1,1,64448.36,0
2702,680,0,1,1,30,8,141441.75,1,1,1,16278.97,0
2703,749,0,1,0,40,1,139290.41,1,1,0,182855.42,1
2704,763,0,1,1,31,4,0,2,0,0,50404.72,0
2705,734,0,1,0,30,3,0,2,1,0,107640.25,0
2706,716,0,1,0,35,4,144428.87,1,1,0,134132.65,0
2707,594,0,1,0,35,2,0,2,1,0,103480.69,0
2708,644,0,1,1,46,9,95441.27,1,1,0,108761.05,1
2709,671,1,0,0,35,1,144848.74,1,1,1,179012.3,0
2710,664,1,0,0,26,7,116244.14,2,1,1,95145.14,0
2711,656,0,1,0,50,7,0,2,0,1,72143.44,0
2712,667,0,0,1,40,1,146502.07,1,1,0,19162.89,0
2713,663,1,0,0,44,2,117028.6,2,0,1,144680.18,0
2714,584,1,0,1,30,8,112013.81,1,1,0,177772.03,1
2715,626,0,0,1,37,6,108269.37,1,1,0,5597.94,0
2716,485,0,1,0,29,7,182123.79,1,1,0,116828.51,1
2717,659,1,0,1,32,3,150923.74,2,0,1,174652.51,0
2718,649,0,1,0,33,2,0,2,1,0,2010.98,0
2719,805,0,0,1,39,5,165272.13,1,1,0,14109.85,1
2720,716,1,0,1,39,10,115301.31,1,1,0,43527.4,1
2721,642,1,0,1,40,6,129502.49,2,0,1,86099.23,1
2722,659,0,1,0,31,4,118342.26,1,0,0,161574.19,0
2723,545,0,0,1,47,5,0,2,1,1,38970.14,0
2724,543,0,1,0,22,8,0,2,0,0,127587.22,0
2725,718,0,1,1,25,7,0,2,1,0,30380.12,0
2726,840,0,1,1,43,7,0,2,1,0,90908.95,0
2727,630,1,0,1,34,9,106937.05,2,1,0,138275.01,0
2728,643,1,0,0,59,3,170331.37,1,1,1,32171.79,0
2729,654,1,0,1,32,1,114510.85,1,1,1,126143.23,0
2730,582,0,1,0,39,5,0,2,1,1,129892.93,0
2731,659,0,0,0,32,3,107594.11,2,1,1,102416.84,0
2732,762,0,0,0,39,2,81273.13,1,1,1,18719.67,0
2733,568,0,0,1,32,7,169399.6,1,1,0,61936.22,0
2734,670,0,0,0,25,6,0,2,1,1,78358.94,0
2735,613,0,1,1,45,1,187841.99,2,1,1,147224.27,0
2736,539,0,1,0,30,0,0,2,1,0,160979.66,0
2737,850,0,0,1,57,8,126776.3,2,1,1,132298.49,0
2738,522,0,0,0,34,9,126436.29,1,1,0,174248.52,1
2739,737,0,1,0,41,1,101960.74,1,1,1,123547.28,0
2740,520,0,1,0,58,3,0,2,0,1,32790.02,0
2741,706,0,0,0,28,3,0,2,0,1,181543.67,0
2742,643,1,0,1,45,2,150842.93,1,0,1,2319.96,1
2743,648,0,1,1,50,9,102535.57,1,1,1,189543.19,0
2744,443,1,0,1,29,9,99027.61,2,1,0,10940.4,0
2745,640,0,1,0,68,9,0,2,1,1,199493.38,0
2746,628,0,0,1,33,3,0,1,1,1,188193.25,0
2747,540,1,0,1,42,9,87271.41,2,1,0,172572.64,0
2748,460,1,0,1,35,8,102742.91,2,1,1,189339.6,0
2749,636,1,0,0,34,2,40105.51,2,0,1,53512.16,0
2750,593,0,1,1,29,2,152265.43,1,1,0,34004.44,0
2751,801,0,0,0,42,4,141947.67,1,1,1,10598.29,0
2752,640,1,0,1,75,1,106307.91,2,0,1,113428.77,0
2753,611,1,0,0,31,0,107884.81,2,1,1,183487.98,0
2754,802,1,0,0,31,1,125013.72,1,1,1,187658.09,0
2755,717,1,0,0,35,7,58469.37,2,1,1,172459.39,0
2756,769,0,1,1,39,8,0,1,0,1,21016,0
2757,745,1,0,0,45,10,117231.63,3,1,1,122381.02,1
2758,572,0,0,0,35,4,152390.26,1,1,0,128123.66,0
2759,629,0,0,1,30,2,34013.63,1,1,0,19570.63,0
2760,687,0,0,1,39,2,0,3,0,0,188150.6,1
2761,483,0,1,1,50,9,0,2,1,1,111020.24,0
2762,690,0,1,0,36,7,101583.11,2,1,0,123775.15,0
2763,492,1,0,1,30,10,77168.87,2,0,1,146700.22,0
2764,709,1,0,0,28,8,124695.72,2,1,0,145251.35,0
2765,705,1,0,0,44,3,105934.96,1,1,0,82463.69,0
2766,560,0,1,1,66,9,0,1,1,1,15928.49,0
2767,611,0,0,0,46,6,0,2,1,0,45886.33,0
2768,730,0,0,0,62,2,0,2,1,1,186489.95,0
2769,709,0,0,1,45,2,0,2,0,1,162922.65,0
2770,544,0,1,1,21,10,161525.96,2,1,0,9262.77,0
2771,712,1,0,1,29,7,147199.07,1,1,1,84932.4,0
2772,752,1,0,0,38,3,183102.29,1,1,1,71557.12,0
2773,648,0,0,0,46,9,127209,2,1,0,77405.95,1
2774,556,0,0,0,38,8,0,2,0,0,417.41,1
2775,594,0,0,1,24,0,97378.54,1,1,1,71405.17,0
2776,645,1,0,1,37,2,136925.09,2,0,1,153400.24,0
2777,557,0,1,0,33,3,54503.55,1,1,1,371.05,0
2778,547,1,0,0,32,8,155726.85,1,1,0,67789.99,0
2779,701,0,1,1,39,9,0,2,0,1,145894.9,0
2780,616,0,1,1,66,1,135842.41,1,1,0,183840.51,1
2781,605,0,1,0,52,1,63349.75,1,1,0,108887.44,0
2782,593,1,0,1,38,4,129499.42,1,1,1,154071.27,0
2783,751,0,0,0,52,8,0,2,0,1,179291.85,0
2784,443,0,0,0,36,6,70438.01,2,0,1,56937.43,0
2785,685,0,1,0,23,8,0,2,1,1,112239.03,0
2786,718,0,1,0,36,9,0,1,1,0,45909.87,0
2787,538,0,0,1,49,9,141434.04,1,0,0,173779.25,1
2788,611,0,0,1,37,4,0,2,1,0,125696.26,0
2789,668,1,0,0,37,10,152958.29,2,1,1,159585.61,0
2790,537,1,0,1,41,3,138306.34,1,1,0,106761.47,0
2791,709,0,0,0,23,10,0,2,0,0,129590.18,0
2792,850,0,1,0,38,1,0,2,1,1,80006.65,0
2793,745,0,0,1,31,3,124328.84,1,1,1,140451.52,0
2794,693,1,0,1,41,9,181461.48,3,1,1,187929.43,1
2795,795,0,0,0,35,8,0,2,1,0,167155.36,0
2796,626,0,0,0,26,8,0,2,0,0,191420.71,0
2797,487,1,0,1,61,5,110368.03,1,0,0,11384.45,1
2798,556,0,1,1,39,9,89588.35,1,1,1,94898.1,0
2799,643,0,1,1,46,6,0,2,0,0,106781.59,0
2800,605,0,1,1,28,6,0,2,0,0,159508.52,0
2801,756,1,0,1,60,3,115924.89,1,1,0,93524.19,1
2802,586,0,1,1,38,2,0,2,1,0,87168.46,0
2803,535,1,0,0,40,7,111756.5,1,1,0,8128.32,1
2804,678,0,1,1,35,4,0,1,1,0,125518.32,0
2805,596,0,1,0,39,9,0,1,1,0,48963.59,0
2806,648,0,1,0,26,9,162923.85,1,1,0,98368.24,0
2807,492,1,0,0,39,10,124576.65,2,1,0,148584.61,0
2808,702,0,1,0,45,0,80793.58,1,1,1,27474.81,0
2809,486,1,0,1,40,9,71340.09,1,1,0,76192.21,0
2810,568,1,0,0,40,1,99282.63,1,0,0,134600.94,1
2811,619,1,0,0,57,3,137946.39,1,1,1,72467.99,1
2812,724,1,0,0,41,2,127892.57,2,0,1,199645.45,0
2813,548,1,0,1,33,0,101084.36,1,1,0,42749.85,0
2814,545,1,0,1,37,8,114754.08,1,1,0,136050.44,1
2815,683,0,1,0,33,8,0,1,0,0,73564.44,0
2816,762,0,1,1,51,3,99286.98,1,0,1,85578.63,0
